,503,1009,10007,16573,46601,46601 w/ sdbm Hash,46601 w/ Alt Key,46601 w/ sdbm Hash and Alt Key
Separate Chaining,171163,87776,13320,10080,6926,6953,16586,0
Probing,77958,77242,73012,54870,27736,27664,26,26
